Feature,Block,House,House_rom,Room,Block-House,Level_ft,Period_cited_in_text,Est_start_year,Est_end_year,Level_context,Size_notes,Materials_notes,Text,Page_num,Notes_internal
Entrance,09,02,II,"26, 27",#NAME?,-22,Intermediate III,2600,2699,General Measure, 2 ft. wide,,"The well-room (26, 27) is somewhat irregular in shape and averages 15 ft. 6 ins. long by 4 ft. 8 ins. wide at its northern end, with the well practically in the middle. Only the northern half of the room was paved at this period. It is difficult to estimate how high the coping stood above the pavement, but it would evidently have been difficidt to pass from one end of the room to the other, and each end therefore had its own door, 2 ft. wide, in the eastern wall.^ (
^ The sills of these doors were 22 ft. below datum.)",,
Doorsill,09,02,II,,#NAME?,-5.3,Late  II and I (b and a),2000,2299,Exact Measure,3ft. 9ins. wide.,,The entrance door from the courtyard to the east was 3ft. 9ins. wide.^ (^Its sill was — 5-3 ft.) A slightly narrower door gave access to the well-room from the rest of the house.,114,
Doorsill,09,02,II,"4, 5, 7 ",#NAME?,-10.9,Late III,,,"Relational Remark (""about the same"")",average nearly 4 ft. wide,inner doorsills,"A large house (II and IV) to the west of House I was apparently entered from the south by a doorway 4 ft. wide.^  (^ 10-9 ft. below datum, The sills of the inner doors are at about the same level and average nearly 4 ft. wide.)  ",98,
Entrance,09,02,II,"4, 5, 7 ",#NAME?,-10.9,Late III,,,Exact Measure,4 ft. wide,,"A large house (II and IV) to the west of House I was apparently entered from the south by a doorway 4 ft. wide.^  (^ 10-9 ft. below datum, The sills of the inner doors are at about the same level and average nearly 4 ft. wide.)  ",98,
Doorsill,09,03,III,29,#NAME?,-3.7,[?],,,Average,2: each 3 ft. 6 ins. wide,,"The north-western corner of room 29 was partitioned off with walls of very rough build, and the two southern doors, each 3 ft. 6 ins. wide, were of later date.- (^ Their sills were an average level of — 3’7 ft.)",,
Doorsill,09,03,III,38,#NAME?,-12.9,Intermediate I,2400,2499,Exact Measure, 2 ft. 9 ins. wide ,partially blocked-up doorway,The partially blocked-up doorway into room 35 from the west was 2 ft. 9 ins. wide with its sill at the level — 12-9 ft. A second entrance slightly further north was at the same level and 6 ins. wider.,97,
Doorsill,09,03,III,,#NAME?,-12.7,Intermediate I,2400,2499,Average,,,"The House III of this sub-period is decidedly puzzling. There were fifteen doors in the outer walls, eight of them opening into the court; all but two of them were blocked up when the walls of the house were raised in the following phase. The levels of the doorsills averaged 12.7 ft. the highest being at — 12 -.5 ft. and the lowest — 13-2 ft. below datum. A very peculiar feature is that three of these apparent doorways opened against the ends of jiartition walls that had been carried up from those of the previous period. At the eastern end of the house, of three doorways that opened into the narrow crevice between Houses I and III and can never really have functioned as doors, two had the ends of walls abutting against them.",,
Doorsill,09,03,III,,#NAME?,-12.5,Intermediate I,2400,2499,Relational Remark - Highest,,,"The House III of this sub-period is decidedly puzzling. There were fifteen doors in the outer walls, eight of them opening into the court; all but two of them were blocked up when the walls of the house were raised in the following phase. The levels of the doorsills averaged 12.7 ft. the highest being at — 12 -.5 ft. and the lowest — 13-2 ft. below datum. A very peculiar feature is that three of these apparent doorways opened against the ends of jiartition walls that had been carried up from those of the previous period. At the eastern end of the house, of three doorways that opened into the narrow crevice between Houses I and III and can never really have functioned as doors, two had the ends of walls abutting against them.",,
Doorsill,09,03,III,,#NAME?,-13.2,Intermediate I,2400,2499,Relational Remark - Lowest,,,"The House III of this sub-period is decidedly puzzling. There were fifteen doors in the outer walls, eight of them opening into the court; all but two of them were blocked up when the walls of the house were raised in the following phase. The levels of the doorsills averaged 12.7 ft. the highest being at — 12 -.5 ft. and the lowest — 13-2 ft. below datum. A very peculiar feature is that three of these apparent doorways opened against the ends of jiartition walls that had been carried up from those of the previous period. At the eastern end of the house, of three doorways that opened into the narrow crevice between Houses I and III and can never really have functioned as doors, two had the ends of walls abutting against them.",,
Entrance,09,03,III,,#NAME?,-12.9,Intermediate I,2400,2499,Relational Remark,3 ft 3 ins,,The partially blocked-up doorway into room 35 from the west was 2 ft. 9 ins. wide with its sill at the level — 12-9 ft. A second entrance slightly further north was at the same level and 6 ins. wider.,97,
Pavement,09,03,III,35,#NAME?,-14,Intermediate I,2400,2499,Exact Measure (Highest),,concave pavement,"Of House III also but httle had survived, and the feature of most interest was a curiously concave pavement in room 35, which was so laid that the water collected in its centre and ran down a little open channel chiselled in the floor (PI. XXXIX, c) and out through a hole in the south-eastern corner of the room to the street outside.^ (3 The level of the highest part of this pavement was 14 ft. below datum.)  ",97,
Pavement,09,03,III,38,#NAME?,-12.5,Intermediate I,2400,2499,Exact Measure,,,In the foreground of the photograph another paved floor (38) is seen which drained into a jar close to its south-eastern corner.^ (* Its level was — 12-5 ft.)  ,97,
Doorsill,09,03,III,,#NAME?,-17.9,Intermediate II,2500,2599,Exact Measure,3 ft. 4 ins. wide,,"Of the House III of this period but little was left save a somewhat roughly paved chamber. 6 to 9 ins., E.-W., by 6 ft. 5 ins., X.-S., in its south-eastern corner, whichwasenteredfromthewestbyadoorway,3ft.4ins.wide,withitssill17• 9ft. below datum. The floor of this room sloped to the south-eastern corner Ar here the water ran through a small ajrerture in the Avail into the street drain outside.",95,
Doorsill,09,03,III,,#NAME?,-17.9,Intermediate II,2500,2599,Exact Measure,3 ft. 4 ins. wide,,"Of the House III of this period but little was left save a somewhat roughly paved chamber. 6 to 9 ins., E.-W., by 6 ft. 5 ins., X.-S., in its south-eastern corner, which was entered from the west by a doorway, 3ft.4ins.wide, with its sill17• 9ft. below datum. The floor of this room sloped to the south-eastern corner Ar here the water ran through a small ajrerture in the Avail into the street drain outside.
",96,
Entrance,09,03,III,,#NAME?,-20,Intermediate III,2600,2699,General Measure,3 ft. 11 ins. wide,,"House III, which measures some 58 ft. by 41 ft. 4 ins.^ is so comjflete and full of interest as to be one of the show buildings of the site. In it one can picture the domestic life of the times more vividly than in almost any other house in the ancient city. The main facade of this house is to the west with its chief entrance, which is 3 ft. 11 ins. wide, just round the corner from Fore Lane along the southern side of the house (PI. XL, a). 
[...]

1 Owing to the batter of the external walls, it is diflacult to give definite measurements as the dimensions vary with the height at wliich they are taken. Thosp' giveu are at the level of the main entrance, i.e., 20 ft. below datum, which is practically that of all the interior door-sills,
[...]
It will be noticed that there were no less than four entrances into this build- ing, all at the same level and consequently of the same date, but of these the two from the lane to the south were carefully bricked up, apparently very shortlv aftertheyweremade. Icannotthinkthatitwasintendedtouseallthesedoor- ways at the same time ; and we must suppose that if this builcUng was a dwelling- house its owner was for some time undecided about the position of the entrance doorway, and that he only made up his mind at the last moment.^",,
Doorsill,09,03,III,,#NAME?,-6.8,Late  II and I (b and a),2000,2299,Exact Measure,,,"The old-time 
western wall of House I apparently no longer existed, and a new doorway was
made in the raised eastern wall of House III, whose sill was 6 8 ft. below datum.",,
Doorsill,09,03,III,29,#NAME?,-4.4,Late Ia [?],2000,2099,Exact Measure,3 ft. 8 ins. wide ,,"The House III of this period was fairly compact but very roughly built. It seems to have been entered from the passage 41 in the Late Ib Phase by a doorway in the eastern wall of room 29, which was subsequently blocked up. The sill of this door, which was 3 ft. 3 ins. wide, was at the level — 4.1 ft. and its jambs still stood 3 ft. 6 ins. high. It seems to have been replaced by a doorway immediately to the south, which was 3 ft. 8 ins. wide with its sill 4-4 ft. below datum. The north-western corner of room 29 was partitioned off with walls of very rough build, and the two southern doors, each 3 ft. 6 ins. wide, were of later date.- (^ Their sills were an average level of — 3’7 ft.)",103,
Doorsill,09,03,III,29,#NAME?,-4.1,Late Ib,,,Exact Measure,3 ft. 3 ins. wide,,"The House III of this period was fairly compact but very roughly built. It seems to have been entered from the passage 41 in the Late Ib Phase by a doorway in the eastern wall of room 29, which was subsequently blocked up. The sill of this door, which was 3 ft. 3 ins. wide, was at the level — 4.1 ft. and its jambs still stood 3 ft. 6 ins. high. It seems to have been replaced by a doorway immediately to the south, which was 3 ft. 8 ins. wide with its sill 4-4 ft. below datum. The north-western corner of room 29 was partitioned off with walls of very rough build, and the two southern doors, each 3 ft. 6 ins. wide, were of later date.-",103,
Doorsill,09,03,III,,#NAME?,-4.9,Late Ib,,,Exact Measure,,,"In the Late Ib Phase, another doorway with its sill 4-9 ft. below datum was
made from House III  it was, in fact, immediately above the door of the former
lock-up shop — — into room 15 of House VII, Block 9. This latter may still have
been a lane, though it is more probable that it had already been built over. ",115,
Channel,09,03,III,,#NAME?,-10.9,Late III,,,Exact Measure," 5 ins. wide by 8-5 ins. deep,",,"Of House III  practically nothing was left save its south-eastern corner, a little channel 5 ins. wide by 8-5 ins. deep,- served to carry off the drainage o this house and also of House I in Block 8.    ( *The bed of this channel was 10-9 ft. below datum.) ",98,move to infrastructure features?
Entrance,09,03,III,,#NAME?,,Late III,,,,,,"For some unknown reason. House III seems to have been spared ; it still preserved its outward form and the arrangement of its rooms followed the same plan as in the three previous occupations. The house was entered as through- out the Intermediate Period at the S. W. corner. AU the other unexplained and apparently unnecessary doorways had been wholly or partially bricked up, and in the latter case evidently served as niches or cupboards. Three verj^ curious holes in the eastern waU of room 66, each some 7-5 ins. high by 8 ins. wide by 1 ft. 11 ins. deep, present a problem.^ What was their purpose, unless they held the supports of a loom or other mechanical apparatus ?",113,
Doorsill,09,04,IV,,#NAME?,-16.5,Intermediate II,2500,2599,General Measure,,,"Of House IV little was left save the well with the masonry round it, and part
of the northern and southern walls. The three openings in the southern wall were now bricked up on the southern side and converted into open niches or cup- boards (PI. XL, c). At the same time the sill of the doorway between the court- yard and the house was raised to 16-5 ft. below datum.",,
Doorsill,09,04,IV,"74, 82",#NAME?,-21.4,Intermediate III [& II?],,,General Measure,is 4ft. 3ins. wide; was originally 5ft. 4ins. in width,,"The doorway from the court 74, 82 to the rooms that once existed to the west is 4ft. 3ins. wide. It was originally 5ft. 4ins. in width and appears to have been narrowed almost immediately, for the added brickwork is bonded to a height of twelve courses above the sill which is 21-4 ft. below datum, he., to the level of the niches in the adjacent wall. In the Intermediate II Phase this doorway was re-used at the narrower width. ",,
Pavement,09,04,IV,04,#NAME?,-4.3,Late Ib,,,Exact Measure,,,"In Late Ib days, when House II, IV was rebuilt it was divided into two, and House IV thence onwards was serv’ed by a small pavement in the south- eastern corner of room 4d. ( 1 At a level of 4-3 ft. below datum)",,
Doorsill,09,04,IV,,#NAME?,-6.9,Late II,2200,2299,General Measure,,,"The large new House IV was apparently entered from the south by a door- way into room 84, the apparent doorway on the northern side of the house being in reality a break in the wall. The central space (81), which measured 20 ft. 6 ins. by 15 ft. 3 ins., was probably the new courtyard in place of the one built over. The eastern jamb of the doorway leading from it into room 83 had a rebate, 7x9 ins., a very unusual feature in the doorways of Mohenjo-daro. The sills of aU the doors from the courtyard were some 6-9 ft. below datum and, therefore, of Late II date.",115,
Doorsill,09,04,IV,"4, 5, 7 ",#NAME?,-10.9,Late III,,,"Relational Remark (""about the same"")",average nearly 4 ft. wide,inner doorsills,"A large house (II and IV) to the west of House I was apparently entered from the south by a doorway 4 ft. wide.^  (^ 10-9 ft. below datum, The sills of the inner doors are at about the same level and average nearly 4 ft. wide.)  ",98,
Entrance,09,04,IV,"4, 5, 7 ",#NAME?,-10.9,Late III,,,Exact Measure,4 ft. wide,,"A large house (II and IV) to the west of House I was apparently entered from the south by a doorway 4 ft. wide.^  (^ 10-9 ft. below datum, The sills of the inner doors are at about the same level and average nearly 4 ft. wide.)  ",98,
Pavement,09,05,V,68,#NAME?,-14,Intermediate I,2400,2499,General Measure,,,"The pavements in the south- eastern corners of the two rooms to the north were in a good state of preserva- tion, especially the one in room 68, 76. Both were 14 ft. below datum, and they were drained through little rectangular apertures in their eastern walls into a small drain in the alley outside. ",98,
Pavement,09,05,V,76,#NAME?,-14,Intermediate I,2400,2499,General Measure,,,"The pavements in the south- eastern corners of the two rooms to the north were in a good state of preserva- tion, especially the one in room 68, 76. Both were 14 ft. below datum, and they were drained through little rectangular apertures in their eastern walls into a small drain in the alley outside. ",98,
Stair Tread,09,05,V,66,#NAME?,,Intermediate I,2400,2499,,"2 ft. 2 ins. wide with steep treads, 8 ins. broad and 11-5 ins. high.",,"A little staircase (66) against the eastern wall of room 68, 76 was 2 ft. 2 ins. wide with steep treads, 8 ins. broad and 11-5 ins. high.",98,
Doorsill,09,05,V,"38, 39, 40",#NAME?,-15.4,Intermediate II,2500,2599,Exact Measure,3 ft. 4 ins. wide,,"Only one room (38, 39, 40) definitely belonging to House V had survived. It was entered by a doorway, 3 ft. 4 ins. wide, in its western wall,* wfiiose sill was raised in the Intermediate I Phase to bring the doorw^ay into use again.
3 The sill was at 15-4 ft. below datum.",96,
Foundation,09,05,V,,#NAME?,-18.3,Intermediate II,2500,2599,General Measure,,with ledge 3 ft 6 in higher,"The bricks of the wall between Buildings V and VII were laid in a curious
and quite ornamental pattern (PL XXXIX, b) -- a method of brick-laying which is more frequently seen in the upper than in the lower levels. (^ The foundation level of this wall was 18-3 ft. below datum. The ledge along its top is 3 ft. 6 ins. higher.)",97,Actually BETWEEN House 5 and House 7. Repeating line here for each in case we group data by House/Unit.
Pavement,09,06,VI,49,#NAME?,-14,Intermediate I,2400,2499,Exact Measure,"5 ft. 2 ins. by 4 ft. 6 ins. in size,","an ablution pavement, some 5 ft. 2 ins. by 4 ft. 6 ins. in size, made of carefully cut bricks","Again, an ablution pavement, some 5 ft. 2 ins. by 4 ft. 6 ins. in size, made of carefully cut bricks, occupied the southern end of passage 49.’ (At the level — 14 ft.)  This pave- ment (PI. XXXIX, a) sloped appreciably towards its S.-E. corner, and the wall to the south of it still stood some 3 ft. high, whereas the other walls around had been partially demohshed.",97,
Doorsill,09,06,VI,,#NAME?,-16.6,Intermediate II,2500,2599,Exact Measure,"4 ft. 2 ins. wide, ",,"The curious skew-shaped building VI was probaably another dwelling-house. It was entered by a doorway, 4 ft. 2 ins. wide, in the middle of its eastern side.^ (1 The sill of this door was 16-6 ft. below datum.) ",,
Pavement,09,06,VI,49,#NAME?,-15.9,Intermediate II,2500,2599,Average,,,A considerable extent of this paving was fairly well preserved at the average level — 15-9 ft. In places deep cavities had been worn in it by the setting down of numberless water-jars. ,96,
Pavement,09,06,VI,,#NAME?,-15.7,Intermediate II,2500,2599,Exact Measure,,,"Another pavement at the southern end of the passage between Houses VI and VIII was
also accessible from the well-room.- ^ At the level 15 -7 ft. below datum.",96,
Platform,09,06,VI,49,#NAME?,-15.8,Intermediate II,2500,2599,Exact Measure,,,"An ablution platform between the well and chamber 33, at the level — 15 -8 ft., was constructed of three courses of brick,of which the uppermost layer was rubbed down quite smooth. ",96,
Doorsill,09,06,VI,,#NAME?,-4.3,Late Ib,,,Average,,,"The door-sills of this house show a remarkable
umformity in level, averaging 4-3 ft. below datum, and they date it to the Late Ib Phase.",104,
Foundation,09,06,VI,"31, 37",#NAME?,-6.5,Late Ib,,,Exact Measure,thin wall now standing 1 ft. 3 ins. high,,"Rooms 31 and 37 were also originally a single room which in the Late Ib Phase was partially subdivided by a thin wall now standing 1 ft. 3 ins. high.-  ( Its foundation level is 6-5 ft, below datum.)",104,
Doorsill,09,06,VI,,#NAME?,-3.7,Late Ib ,,,Exact Measure,3 ft. 8 ins. wide,,"House VI, whose southern wall was the only one based on earlier masonry, was entered from the east through a doorway. 3 ft. 8 ins. wide, whose sill was 3‘7ft. below datum. This door was at first 4ft .6ins. wide, but was subsequently narrowed in the Late Ib Phase by building additional masonry up against its southern jamb. ",104,
Doorsill,09,06,VI,"32, 33, 34, 35",#NAME?,-4.3,Late Ib ,,,Average,,,"Rooms 32, 33, 34 and 35 appear to have been originally one large apartment, which was subdivided by thin partition walls in the Late Ib Phase for their door-sills average 4-3 ft. below datum.",,
Pavement,09,07,VII,,#NAME?,-4.8,"[? ""Later""]",,,Exact Measure,,broken pavement,"The ground-plan of House VII which was chiefly of Late II date was re- markably clear with most of the doorways well preserved. But the broken pavement at the level — 4-8 ft. at the northern end of the corridor-like room 18, w Inch measured 34 ft. by 8 ft., was of later date.",104,
Foundation,09,07,VII,,#NAME?,-18.3,Intermediate II,2500,2599,General Measure,,with ledge 3 ft 6 in higher,"The bricks of the wall between Buildings V and VII were laid in a curious
and quite ornamental pattern (PL XXXIX, b) -- a method of brick-laying which is more frequently seen in the upper than in the lower levels. (^ The foundation level of this wall was 18-3 ft. below datum. The ledge along its top is 3 ft. 6 ins. higher.)",97,Actually BETWEEN House 5 and House 7. Repeating line here for each in case we group data by House/Unit.
Stair Tread,09,07,VII,,#NAME?,-17.6,Intermediate II,2500,2599,Exact Measure (Lowest),"staircase, 3 ft. 5 ins. wide; five treads remained, each 8 ins. broad and high",,"House VII was more or less complete, though the walls were Ijroken through in places. It was entered from the little alley to the east of it by a doorway, 4 ft. 8 ins. wide, into an ante-chamber (17). The only feature of interest in the interior of this building is a little staircase, 3 ft. 5 ins. wide, of which only five treads remained, each 8 ins. broad and high.- This stairway must have led to the roof or upper storey above a ground-floor room, whose walls had coinjiletely disappeared. (The lowest step was 17-6 ft. below datum. This stairway was a trifle north of 52.)",97,
Doorsill,09,07,VII,"21, 22, 23",#NAME?,-5.1,Late Ib,,,General Measure,,,"Part also of House III of Block 10 to the south of these rooms appears to have been acquired by the owner of House  VIl perhaps to accommodate the families of his sons or dependents or, it may be, this was a sacred ; edifice as suggested by the objects found in it and discussed earhei in this chapter. The only entrance to this building from the outside appears to have been the doorway into room 20 from the ancient Init disused lane 21, 22 and 23  ( Its sill was some 5' 1 ft. below datum, i.e., of Late Ib date)",,
Entrance,09,07,VII,51,#NAME?,-4.4,Late Ib,,,Exact Measure,,,"The doorway in the south-eastern comer ot chamber 51, whose sill was raised to the level 4-4 ft. in the Late Ib Phase, was partially blocked up and converted into a niche in Late la times.",104,
Niche,09,07,VII,51,#NAME?,,,,,,,,"The doorway in the south-eastern comer ot chamber 51, whose sill was raised to the level 4-4 ft. in the Late Ib Phase, was partially blocked up and converted into a niche in Late la times.",104,
Flooring,09,08,VIII,"17, 18, 42 ",#NAME?,-13.7,Intermediate I,2400,2499,Exact Measure,,"bricks 10- 75x5- 25x2-5 ins, in size.","In the middle of the once important room 17, 18, 42 were the remains of a brick floor at the level 13-7 ft. below datum, made with bricks 10- 75x5- 25x2-5 ins, in size.",97,
Foundation,09,08,VIII,,#NAME?,-16.5,Intermediate II,2500,2599,Lowest Measure,,,"House VIII, next to the west, must have been a very important building if one can judge by the exceptional thickness of its main walls. It was commenced in the Intermediate II Phase, for its foundations do not descend below the level — 16-5 ft., ",96,
Stair Tread,09,09,IX,"94, 95",#NAME?,-15,Intermediate I [?],2400,2499,Exact Measure (Lowest),,,"Below the level to which we have dug on either side, we found that the Intermediate I buildings beneath Block 8A and Building XII in Block 9 were separated by an ancient lane (94, 95), 6 ft. 9 ins. wide. This lane was, however, entirely blocked up in the Intermediate I Phase by a well-constructed stairway whose lowest step was 15 ft. below datum. Nine treads still remain, each 9 ins. high and broad, built up against a solid block of masonry, which may have formed a landing, and which appears in the Late III plan. This stairway will be allud- ed to again in the description of the Late II and I plan (PI. XX).",98,check description with Uzma -- this seems actually about Intermediate I even though embedded in Late III text
Doorsill,09,09,IX,,#NAME?,-5,Late Ib,,,Exact Measure,3 ft. wide,,"During the Late Ib Phase, the doorway into House IX from this recess in the lane was 3 ft. wide, and its sill 5 ft. below datum. At this date and probably earlier, the lane was made to communicate direct with Central Street by the removal of the wall that in the Late III Phase, and perhaps earlier also, had blocked its northern end.
",,
Doorsill,09,09,IX,69,#NAME?,-10.4,Late III,,,Exact Measure,3 ft. wide,,"House IX in the N.-W. corner of the block was entered from the blind lane (69) between Blocks 9 and 9A by a doorway, 3 ft. wide, at its north-western corner.-  ( ^ The sill of this door was 10 -4 ft. below datum. )  ",,
Pavement,09,09,IX,69,#NAME?,-10.5,Late III,,,Exact Measure,,,The wash-down pavement in the north-eastern corner of the house drained into Central Street.^  ( Its level was 10.5 ft. below datum.),,
Entrance,09,12,XII,"91, 94 ",#NAME?,-5.4,Late Ib,,,Exact Measure,2 ft. 6 ins. wide,,"At this period, the well-room was entered from court 91, 94 (Xll) by a doorway, 2 ft. 6 ins. wide, at the level 5-4 ft. below datum ",,
Pavement,09,12,XII,83,#NAME?,-6.5,Late Ib or Late II,2100,2299,Exact Measure,,,"At the same time a bathroom, or perhaps privy, with its paved floor 6-5 ft. below datum, was made in room 83.",,
Pavement,09,12,XII,87,#NAME?,-4.9,Late Ib or Late II,2100,2299,Relational Remark,,roughly paved; odd-sized and even broken brick ,"Room 87 was also subdivided by a thin partition wall, in which was a narrow doorway, and it was very roughly paved some 1 ft. 6 ins. higher with odd-sized and even broken brick evidently removed from elsewhere.",,
Ledge,09,12,XII,,#NAME?,-8.4,Late II,2200,2299,General Measure,averaging 4-5 ins. wide,,"A ledge, averaging 4-5 ins. wide, at the level - 8-4 ft. along the inside of each of the three remaining walls of section XII of this building shows that they were rebuilt in the Late II Phase, when a few partition walls were erected.",,
Entrance,09,12,XII,,#NAME?,[?],Late II (?),2200,2299,Relational Remark,4 ft. 9 ins. wide,,"a doorway, 8 ft. 2 ins. wide, which was found blocked up, seems to have been made to open on to the former landing of the staircase. The great width of this doorway, through which a loaded pack-animal could easily pass, together with the fact that the corners of the two buildings on Central Street are knocked about and rubbed from the landing level upwards, suggests that section XII was now used as a courtyard in which the newly built partition walls were those of store-rooms.' Significant is the additional fact that a doorway, 4 ft. 9 ins. wide, in the southern wall, with its sill at the same level as the new entrance, from now on gave access to room 52 of section I beyond.",,
Doorsill,09,12,XII,83-88,#NAME?,-9.1,Late III,,,Average,3 sills averaging 3 ft. wide,,"West of this building is a smaller one (83-88), which might have been a row of three shops all entered from Central Street by doors whose sills averaged 3 ft. wide and 9-1 ft. below datum. ",98,
Entrance,09,,,49,#NAME?,,Intermediate II,2500,2599,,9 ft. across,,"At the southern end of the passage 49 there was a considerably wider entrance, 9 ft. across, to the well-room which was probably in constant use by the occupants of neighbouring houses also. The internal diameter of this well, whose steening was raised to the level - 13-4 ft. in the subsequent period, was 2 ft. 6 ins. and its lining was, as usual, built of wedged-shaped Iwicks, 10-5 x 4-5 x 2-5 ins. in size. It apparently went out of use at the end of the Intermediate I Phase, arareoccurrenceatMohenjo-daro. IfthishadhappenedbetweentheLateIII and Late II sub-periods, when the city was abandoned for some considerable time, it would not be remarkable.",96,No level given
Entrance,09,08,VIII ,"19, 20",#NAME?,,Late Ia,2000,2099,,3 ft. 4 ins. wide,,"At first, rooms 19 and 20 of the roughly built House VIII were one apart- ment, which was subdivided in the Late la Phase by a thin wall with a door- way, 3 ft. 4 ins. wide. The still larger room 14, 16, Is, which was nearly 17 ft. long, was also subdivided later.",,
Foundation,10,01,I,"03, 05",#NAME?,-22.5,Intermediate III,2600,2699,Exact Measure,,,"With the exception of its north-western corner, practically nothing remains of the Building I of the Intermediate III Phase; all the rest had been removed by brick-quarriers. The doorless room (3 and 5)—mere foundations—in this corner was 9 ft. 4 ins. long by 6 ft. 6 ins. wide at the level 22*5 ft. below datum.",107,
Doorsill,10,02,II,,#NAME?,-22,Intermediate III,2600,2699,Exact Measure,,,"The well-room (26, 27) is somewhat irregular in shape and averages 15 ft. 6 ins. long by 4 ft. 8 ins. wide at its northern end, with the well practically in the middle. Only the northern half of the room was paved at this period. It is difficult to estimate how high the coping stood above the pavement, but it would evidently have been difficult to pass from one end of the room to the other, and each end therefore had its own door, 2 ft. wide, in the eastern wall.^ (The sills of these doors were 22 ft. below datum.) 
 The paved floor was about 3 ins. above the level of the door-sills.
Outside these two doorways and against the wall between them, a little stairway, 2 ft. wide, whose two remaining treads are each 8 ins. broad and 7 ins. high, presumably led to some structure east or south of it, which has entirely disappeared.
The photograph (PL XLI, b) shows how badly the western wall of this well- room had subsided. This was clearly due to floods and provides strong evidence that the evacuation of the city after the last time this wall was raised was due to this cause.",107,
Pavement,10,02,II,,#NAME?,-21.9,Intermediate III,2600,2699,Relational Remark,,,"(The sills of these doors were 22 ft. below datum.) 
 The paved floor was about 3 ins. above the level of the door-sills.",107,
Entrance,10,03,III,,#NAME?,-20,Intermediate III,2600,2699,Relational Remark,3 ft. 11 ins. wide,"""the batter of the external walls""","House III, which measures some 58 ft. by 41 ft. 4 ins.^  
(Owing to the batter of the external walls, it is diflacult to give definite measurements as the dimensions vary with the height at which they are taken. Those given are at the level of the main entrance, i.e., 20 ft. below datum, which is practically that of all the interior doorsills,)
is so complete and full of interest as to be one of the show buildings of the site. In it one can picture the domestic life of the times more vividly than in almost any other house in the ancient city. The main facade of this house is to the west with its chief entrance, which is 3 ft. 11 ins. wide, just round the corner from Fore Lane along the southern side of the house (PI. XL, a).",108,
Aperture,10,03,III,,#NAME?,,Intermediate III,2600,2699,Relational Remark,,,"A rectangular opening in the northern wall of room 62 communicated with 63. This opening, which seems originally to have measured 1 ft. 3-5 ins. wide by 2 ft. 1 in. high and is 3 ft. 3 ins. above the footing of Intermediate III date, may have served as a hatch through which food was passeil ; if so, room 62 have been a kitchen, though no trace of a hearth was found in it. In the follow- ing phase, this aj^erture was raised to bring it into use again and one side was roughly bricked up to turn it into a niche or cupboard in room 62.”^  (4 This niche is not shown in either of the plans to avoid its being confused with a doorway.)",108,
Entrance,10,03,III,,#NAME?,-20,Intermediate III,2600,2699,Relational Remark,,"4 entrances, 2 of them bricked up","It will be noticed that there were no less than four entrances into this build- ing, all at the same level and consequently of the same date, but of these the two from the lane to the south were carefully bricked up, apparently very shortlv aftertheyweremade. Icannotthinkthatitwasintendedtouseallthesedoor- ways at the same time ; and we must suppose that if this builcUng was a dwelling- house its owner was for some time undecided about the position of the entrance doorway, and that he only made up his mind at the last moment.^ 
(^ I am told tliat extra doorways are --umetimes made in Sindh to-dciy in the hope that the ad- iaeent properties can eventually be bought in. I should imagine, however, that in the case of House HI, it would haA'e been difficult to appropriate the lanes that separated it from the buildings around.)",109,
Pavement,10,04,IV,"74, 82",#NAME?,-21.2,Intermediate III,2600,2699,Average,,"very roughly paved with brick, much of it broken; somewhat undulating","This almost square enclosure 74, 82 is very roughly paved with brick, much of it broken ; and there seems no doubt that it was ""once a courtyard with a well in its north-western corner (PI. XL, a). Its eastern wall had been entirely removed to the level of the pavement, though, doubtless, deeper excavation will reveal itsfoundations. It was probably of the same thickness as the ruined northern and southern walls of the court. The pavement which is somewhat undulating averages 21-2 ft. below datum, and being mostly made of broken bricks was probablv saved from the brick-robbers' depredations thereby.",109,
Doorsill,10,04,IV,"74, 82",#NAME?,-21.4,Intermediate III,2600,2699,General Measure,,,"The doorway from the court 74, 82 to the rooms that once existed to the west is 4ft. 3ins. wide. It was originally 5ft. 4ins. in width and appears to have been narrowed almost immediately, for the added brickwork is bonded to a height of twelve courses above the sill which is 21-4 ft. below datum, he., to the level of the niches in the adjacent wall. In the Intermediate II Phase this doorway was re-used at the narrower width.",109,
Aperture,10,04,IV,"74, 82",#NAME?,-18.7,Intermediate III,2600,2699,Average,3 ft. 11 ins. wide ,,"There are three very curious apertures in the southern wall of the court and the room beyond, the one in the courtyard being 3 ft. 11 ins. wide and the other two 3 ft. 8 ins. wide (PI. XL, c). The floors of these apertures average 18-7 ft. below datum and they Avere presumably made at the latter end of the Intermediate III Phase. The jambs of the two farthest Avest are slightly recessed on the southern side. They were bricked up with a thin layer of masonry and used as niches in the Intermediate II Phase.",109,
Aperture,10,04,IV,"74, 82",#NAME?,-18.7,Intermediate III,2600,2699,Average,"3 ft. 8 ins. wide (PI. XL, c)",,"There are three very curious apertures in the southern wall of the court and the room beyond, the one in the courtyard being 3 ft. 11 ins. wide and the other two 3 ft. 8 ins. wide (PI. XL, c). The floors of these apertures average 18-7 ft. below datum and they Avere presumably made at the latter end of the Intermediate III Phase. The jambs of the two farthest Avest are slightly recessed on the southern side. They were bricked up with a thin layer of masonry and used as niches in the Intermediate II Phase.",109,
