,Plate,Block,House,Room,Level_ft,Time_Cat,Feature,Type,Text,N1,Period_cited_in_text,Level_context,Materials_notes,Class,Text2
301,074-022-X,9,08,18,-13.4,Intermediate II,Human Figure,Figurine,"Pottery; no slip. A mask with hollow back, made in a mould and roughly finished behind. The horns seem to be those of a bison, and ears are roughly indicated below them by the addition of strips of clay. Two holes for attachment. ",Artefacts,,,,Domestic,"Pottery; no slip. A mask with<br>hollow back, made in a mould<br>and roughly finished behind. The horns<br>seem to be those of a<br>bison, and ears are roughly indicated<br>below them by the addition of<br>strips of clay. Two holes for<br>attachment. "
304,073-008-X,7,04,70,-11.4,Intermediate I,Human Figure,Figurine,"Pottery, with a dark red slip. Oval eye-pellets and the mouth a mere dent. No attempt to represent either hair or head-dress. Genital organs well defined, and show no trace of circumcision. Navel marked by an unnecessarily deep hole. Roughly made, though great care was taken over certain details. Though the right arm is complete, no attempt was made to represent a hand, and with very little missing it is clear that both the feet were similarly undefined. The curious attitude of this figure cannot be considered accidental since the posture of the legs is the same as no. 2",Artefacts,,,,Domestic,"Pottery, with a dark red slip.<br>Oval eye-pellets and the mouth a<br>mere dent. No attempt to represent<br>either hair or head-dress. Genital organs<br>well defined, and show no trace<br>of circumcision. Navel marked by an<br>unnecessarily deep hole. Roughly made, though<br>great care was taken over certain<br>details. Though the right arm is<br>complete, no attempt was made to<br>represent a hand, and with very<br>little missing it is clear that<br>both the feet were similarly undefined.<br>The curious attitude of this figure<br>cannot be considered accidental since the<br>posture of the legs is the<br>same as no. 2"
305,075-010-X,9,06,34,-14.4,Intermediate II,Human Figure,Figurine,"Pottery, with a red slip. From its lightness this figure is probabably hollow. What may have been a fan-shaped head-dress is broken off, but there seems to have been a flat wing on either side of it, parts of which remain and are much ornamented. On the arms, one of which is unbroken, there are bangles and armlets, and an anklet is seen on the remaining leg. The ornaments worn round the neck may be bands of material studded with sewn-on ornaments. The nostrils are indicated by two small holes, a rare refinement in this class of figure. ",Artefacts,,,,Domestic,"Pottery, with a red slip. From<br>its lightness this figure is probabably<br>hollow. What may have been a<br>fan-shaped head-dress is broken off, but<br>there seems to have been a<br>flat wing on either side of<br>it, parts of which remain and<br>are much ornamented. On the arms,<br>one of which is unbroken, there<br>are bangles and armlets, and an<br>anklet is seen on the remaining<br>leg. The ornaments worn round the<br>neck may be bands of material<br>studded with sewn-on ornaments. The nostrils<br>are indicated by two small holes,<br>a rare refinement in this class<br>of figure. "
306,076-001-X,9,08,18,-13.4,Intermediate II,Human Figure,Figurine,"Pottery; no slip. A hollow, horned mask, made in a mould, with a hole on each side just below the ears.",Artefacts,,,,Domestic,"Pottery; no slip. A hollow, horned<br>mask, made in a mould, with<br>a hole on each side just<br>below the ears."
307,105-018-X,9,10,54,-11.5,Intermediate I,Lithics,Flint Core,"Flint core. Light grey. A long narrow core, from which small flakes had been struck all round; probably regarded as too attenuated to allow of further pieces being struck from it. ",Artefacts,,,,Craft,"Flint core. Light grey. A long<br>narrow core, from which small flakes<br>had been struck all round; probably<br>regarded as too attenuated to allow<br>of further pieces being struck from<br>it. "
308,104-001-X,9,06,79,-9.0,Late III,Lithics,Mace-heads,"Hard, dark grey stone. Carefully made, but not exactly round. ",Artefacts,,,,Craft,"Hard, dark grey stone. Carefully made,<br>but not exactly round. "
309,142-002-X,9,07,17,-14.4,Intermediate II,Personal Ornament,Bullse,"Light red pottery; no slip. Two rows of pricking round the edge of the obverse, which had a round flat pellet added in the centre before being baked. Two holes for suspension. ",Artefacts,,,,Domestic,"Light red pottery; no slip. Two<br>rows of pricking round the edge<br>of the obverse, which had a<br>round flat pellet added in the<br>centre before being baked. Two holes<br>for suspension. "
311,074-015-X,7,03,39,-9.0,Late III,Human Figure,Figurine,"Pottery, with a red slip. The large carrings worn by this figurine of a woman are represented by circular strips of clay. This cap was secured to the head by a fillet, or perhaps the band may represent the loweredge of the cap itself. The lack of slip on this part of the fiure suggests that it was intended to represent a cap made of a white material. ",Artefacts,,,,Domestic,"Pottery, with a red slip. The<br>large carrings worn by this figurine<br>of a woman are represented by<br>circular strips of clay. This cap<br>was secured to the head by<br>a fillet, or perhaps the band<br>may represent the loweredge of the<br>cap itself. The lack of slip<br>on this part of the fiure<br>suggests that it was intended to<br>represent a cap made of a<br>white material. "
315,141-061-X,9,11,72,-10.4,Intermediate I,Personal Ornament,Beads,Steatite,Artefacts,,,,Domestic,Steatite
321,075-002-X,7,08,28,-22.7,Early Periods,Human Figure,Figurine,"Pottery, with traces of a red slip. This figure, which is perhaps that of a woman, holds to its breast around object which may be a dum. There is the usual fan-shaped head-dress and a fillet is worn round the forehead. The remaining leg is short and appears to be deformed. A slight, but unfortunately, broken projection behind the neck suggests that the hair was worn in a knot behind the head. ",Artefacts,,,,Domestic,"Pottery, with traces of a red<br>slip. This figure, which is perhaps<br>that of a woman, holds to<br>its breast around object which may<br>be a dum. There is the<br>usual fan-shaped head-dress and a fillet<br>is worn round the forehead. The<br>remaining leg is short and appears<br>to be deformed. A slight, but<br>unfortunately, broken projection behind the neck<br>suggests that the hair was worn<br>in a knot behind the head.<br>"
327,075-008-X,7,05,51,-12.0,Intermediate I,Human Figure,Figurine,Pottery; no slip. The single necklace is unfortunately broken. A cone worn on the top of the head just in front of the head-dress is exactly like that commonly worn by the women of the Punjab at the present day.,Artefacts,,,,Domestic,Pottery; no slip. The single necklace<br>is unfortunately broken. A cone worn<br>on the top of the head<br>just in front of the head-dress<br>is exactly like that commonly worn<br>by the women of the Punjab<br>at the present day.
329,140-045-X,9,07,51,-10.5,Intermediate I,Personal Ornament,Finger-Ring,Double coil of copper or bronze wire. Its two ends do not pass one another in the second coil. ,Artefacts,,,,Domestic,Double coil of copper or bronze<br>wire. Its two ends do not<br>pass one another in the second<br>coil. 
331,075-012-X,7,09,31,-13.4,Intermediate II,Human Figure,Figurine,"Pottery; no slip. Similar in all essential respects to No. 7 on the same plate. The breasts are, however, more pendant and the infant is hardly recognisable as such. This figurineis hollow and very roughly made. ",Artefacts,,,,Domestic,"Pottery; no slip. Similar in all<br>essential respects to No. 7 on<br>the same plate. The breasts are,<br>however, more pendant and the infant<br>is hardly recognisable as such. This<br>figurineis hollow and very roughly made.<br>"
332,111-090-X,7,08,22,-16.3,Intermediate III,Cooking Baking Utensils,Shell-ladles,Very well finshed. ,Artefacts,,,,Domestic,Very well finshed. 
333,142-045-X,7,01,9,-28.1,Early Periods,Vessels,Vessel,Greenish-grey steatite. Slightly curved fragment of a vessel which probably had two compartments.,Artefacts,,,,Domestic,Greenish-grey steatite. Slightly curved fragment of<br>a vessel which probably had two<br>compartments.
337,111-080-X,7,08,25,-19.7,Intermediate III,Household Objects,Hammer Stone,"This spherical object is of flint. It is probably a natural nodule that was trimmed over with some pointed tool to serve as a hammer-stone, for it had been badly knocked about here and there. ",Artefacts,,,,Other,"This spherical object is of flint.<br>It is probably a natural nodule<br>that was trimmed over with some<br>pointed tool to serve as a<br>hammer-stone, for it had been badly<br>knocked about here and there. "
338,075-019-X,7,04,49,-15.0,Intermediate II,Human Figure,Figurine,"Pottery; no slip. Hollow pottery head and shoulders of a woman with very prominent breasts. The sides of the fan-shaped head-dress are swathed with twisted and ornamented bands of material. Below two necklaces fairly close round the throat there is a long thin scarf which seems to be fastened to a girdle by a medallion just though the modelling in general is rough, and an impression is conveyed of a wealthy woman who was fond of good living. Though the figure is hollow, the walls are very thick, and it is not well baked. ",Artefacts,,,,Domestic,"Pottery; no slip. Hollow pottery head<br>and shoulders of a woman with<br>very prominent breasts. The sides of<br>the fan-shaped head-dress are swathed with<br>twisted and ornamented bands of material.<br>Below two necklaces fairly close round<br>the throat there is a long<br>thin scarf which seems to be<br>fastened to a girdle by a<br>medallion just though the modelling in<br>general is rough, and an impression<br>is conveyed of a wealthy woman<br>who was fond of good living.<br>Though the figure is hollow, the<br>walls are very thick, and it<br>is not well baked. "
343,140-061-X,9,06,79,-6.1,Late II,Personal Ornament,Stud for nose,This stud is unusual in that the pattern is not the stereotyped devided circle; it has a hole right through it from front to back,Artefacts,,,,Domestic,This stud is unusual in that<br>the pattern is not the stereotyped<br>devided circle; it has a hole<br>right through it from front to<br>back
344,109-020-X,7,08,26,-16.4,Intermediate III,Tools,Whestones,"Made of pottery covered thickly all over with a gritty substance, resembling emery in colour at least. One end is missing and in the other there is a rough hole for a cord. ",Artefacts,,,,Craft,"Made of pottery covered thickly all<br>over with a gritty substance, resembling<br>emery in colour at least. One<br>end is missing and in the<br>other there is a rough hole<br>for a cord. "
347,076-005-X,7,04,69,-23.1,Early Periods,Human Figure,Figurine,"Pottery, with a red slip. The bust of a woman as shown by the prominent breasts. The two pairs of horns of which the hinder ones are borken, may  from their somewhat bird-like form have been intended to represent doves perched on the head of a female deity. A figurine is very roughly made and it lacks the usual jewellery indicated by strips and pellets of clay. In their place a necklace was represented in white paint. ",Artefacts,,,,Domestic,"Pottery, with a red slip. The<br>bust of a woman as shown<br>by the prominent breasts. The two<br>pairs of horns of which the<br>hinder ones are borken, may <br>from their somewhat bird-like form have<br>been intended to represent doves perched<br>on the head of a female<br>deity. A figurine is very roughly<br>made and it lacks the usual<br>jewellery indicated by strips and pellets<br>of clay. In their place a<br>necklace was represented in white paint.<br>"
349,079-027-X,7,01,14,-26.1,Early Periods,Animals,Model animal,"Pottery, with a cream slip. Carefully made model of a bull with the wrinkles above the neck carefully delineated. Horns nearly complete. ",Artefacts,,,,Domestic,"Pottery, with a cream slip. Carefully<br>made model of a bull with<br>the wrinkles above the neck carefully<br>delineated. Horns nearly complete. "
350,076-008-X,7,08,25,-22.1,Early Periods,Human Figure,Figurine,"Pottery, with traces of red applied over a thick pinkish slip. Two pottery faces, apparently made in the same mould, were joined together back to back to make this Janus-like head, the material squeezed up between them serving to represent a head-dress. THis double head appears to have been attached to a single body, as the base of the joined becks shows a definitely single fracture. The slanting eyes seem to have been touched up with a graver. ",Artefacts,,,,Domestic,"Pottery, with traces of red applied<br>over a thick pinkish slip. Two<br>pottery faces, apparently made in the<br>same mould, were joined together back<br>to back to make this Janus-like<br>head, the material squeezed up between<br>them serving to represent a head-dress.<br>THis double head appears to have<br>been attached to a single body,<br>as the base of the joined<br>becks shows a definitely single fracture.<br>The slanting eyes seem to have<br>been touched up with a graver.<br>"
351,076-009-X,4,00,8,-20.4,[check data],Human Figure,Figurine,"Pottery, with a cream slip. This face was made in a mould and the head-dress added afterwards. A joint can be distinguished all round the face. The eyes are Mongolian in characer, and the high cheek bones characteristic of that race are well accentuated. Whether the smile is inentional, it is difficult to say. The high head-dress suggests a woman, though the face itself is more like that of a man. ",Artefacts,,,,Domestic,"Pottery, with a cream slip. This<br>face was made in a mould<br>and the head-dress added afterwards. A<br>joint can be distinguished all round<br>the face. The eyes are Mongolian<br>in characer, and the high cheek<br>bones characteristic of that race are<br>well accentuated. Whether the smile is<br>inentional, it is difficult to say.<br>The high head-dress suggests a woman,<br>though the face itself is more<br>like that of a man. "
352,076-010-X,7,05,68,-21.5,Early Periods,Human Figure,Figurine,"Pottery; no slip. A roughly modelled figure, probably that of a woman, with the hair hanging down the back. THis figure is unusual in that it is fixe on a pottery stand. ",Artefacts,,,,Domestic,"Pottery; no slip. A roughly modelled<br>figure, probably that of a woman,<br>with the hair hanging down the<br>back. THis figure is unusual in<br>that it is fixe on a<br>pottery stand. "
355,076-013-X,10,01,11,-20.7,Early Periods,Human Figure,Figurine,"Pottery, with a red slip. Upper part of the figure of a woman holding a child to her left breast. The tall head-dress has a medallion on side and the fracture where another has broken off on the other side. These two medallions were connected by a strip of clay. ",Artefacts,,,,Domestic,"Pottery, with a red slip. Upper<br>part of the figure of a<br>woman holding a child to her<br>left breast. The tall head-dress has<br>a medallion on side and the<br>fracture where another has broken off<br>on the other side. These two<br>medallions were connected by a strip<br>of clay. "
358,142-023-X,7,08,53,-18.1,Intermediate III,Personal Ornament,Bracelet,Round copper wire. Closely meeting square-cut ends. ,Artefacts,,,,Domestic,Round copper wire. Closely meeting square-cut<br>ends. 
359,076-017-X,7,08,28,-20.8,Early Periods,Human Figure,Figurine,"Pottery; no slip. This is a seated female(?) figure with the feet projecting very slightly. As the base is flat and the figure quite stable, it is possible that it is a piece used in a board game. ",Artefacts,,,,Domestic,"Pottery; no slip. This is a<br>seated female(?) figure with the feet<br>projecting very slightly. As the base<br>is flat and the figure quite<br>stable, it is possible that it<br>is a piece used in a<br>board game. "
368,108-013-X,7,08,,-18.3,Intermediate III,Cooking Baking Utensils,Handle,Pottery; no slip. A short handle. Four shallow grooves round the middle,Artefacts,,,,Domestic,Pottery; no slip. A short handle.<br>Four shallow grooves round the middle
369,136-098-X,9,09,87,-4.5,Late Ib,Personal Ornament,Bracelet,"Oval copper wire, ends slightly fined down. ",Artefacts,,,,Domestic,"Oval copper wire, ends slightly fined<br>down. "
375,108-020-X,4,00,8,,,Lithics,Flint Core,"Had been used as a polisher, for some of the angles are rubbed down quite smooth. Another, larger core found with this one shows no trace of polish or other use. ",Artefacts,,,,Craft,"Had been used as a polisher,<br>for some of the angles are<br>rubbed down quite smooth. Another, larger<br>core found with this one shows<br>no trace of polish or other<br>use. "
381,108-023-X,9,06,32,-19.4,Intermediate III,Cooking Baking Utensils,Rolling-pin,"Cylindrial. Light red pottery; cream slip. Well baked, but the surface somewhat rough. ",Artefacts,,,,Domestic,"Cylindrial. Light red pottery; cream slip.<br>Well baked, but the surface somewhat<br>rough. "
385,109-027-X,7,08,16,-23.9,Early Periods,Lithics,Mace-heads,"Pottery; badly baked. The slightly bi-conical hole that pierces it is 0.62"" in diameter at its narrowest part. ",Artefacts,,,,Craft,"Pottery; badly baked. The slightly bi-conical<br>hole that pierces it is 0.62""<br>in diameter at its narrowest part.<br>"
386,109-028-X,7,08,16,-24.1,Early Periods,Lithics,Mace-heads,"Cream-coloured, cherty limestone. ",Artefacts,,,,Craft,"Cream-coloured, cherty limestone. "
387,109-035-X,7,03,43,-13.0,Intermediate II,Lithics,Mace-heads,"Soft, white limestone.  A shallow, rounded hole such as this would have been useless for affixing the head to a shaft, but judging from the finish of the hole and the surface of the head.",Artefacts,,,,Craft,"Soft, white limestone.  A shallow,<br>rounded hole such as this would<br>have been useless for affixing the<br>head to a shaft, but judging<br>from the finish of the hole<br>and the surface of the head."
397,136-088-X,7,03,47,-13.8,Intermediate II,Personal Ornament,Composite Bead,"One segment only of a composite bead which probably comprised some three or five parts in all when complete. Round in section. THe material is dark green, almost black, seprentine. ",Artefacts,,,,Domestic,"One segment only of a composite<br>bead which probably comprised some three<br>or five parts in all when<br>complete. Round in section. THe material<br>is dark green, almost black, seprentine.<br>"
407,109-033-X,9,06,32,-19.3,Intermediate III,Tools,Pottery Cone,"Very hard baked pottery, now a light chocolate colour. Point missing. Spiral line of dots incised on lower portion. ",Artefacts,,,,Craft,"Very hard baked pottery, now a<br>light chocolate colour. Point missing. Spiral<br>line of dots incised on lower<br>portion. "
409,076-002-X,9,06,78,-18.6,Intermediate III,Human Figure,Figurine,"Pottery; no slip. A hollow mask with holes at the sides for tying it on; very similar to others found in the lower levels, but surmounted with spiral horns, possibly those of a goat, instead of the usual bovine ones. ",Artefacts,,,,Domestic,"Pottery; no slip. A hollow mask<br>with holes at the sides for<br>tying it on; very similar to<br>others found in the lower levels,<br>but surmounted with spiral horns, possibly<br>those of a goat, instead of<br>the usual bovine ones. "
412,140-048-X,7,04,,-8.7,Late III,Personal Ornament,Finger-Ring,Slightly flattened copper wire,Artefacts,,,,Domestic,Slightly flattened copper wire
415,142-011-X,7,08,21,-13.5,Intermediate II,Personal Ornament,Finger-Ring,Round copper wire.,Artefacts,,,,Domestic,Round copper wire.
419,109-001-X,9,07,47,-20.0,Intermediate III,Cooking Baking Utensils,Cake-mould,"Pottery; light red in colour and containing a little mica. This cake-mould is quite a new shape, rectangular in outline with rounded corners. The base was only roughly finished, but the interior of the mould had been carefully smoothed over. ",Artefacts,,,,Domestic,"Pottery; light red in colour and<br>containing a little mica. This cake-mould<br>is quite a new shape, rectangular<br>in outline with rounded corners. The<br>base was only roughly finished, but<br>the interior of the mould had<br>been carefully smoothed over. "
420,140-050-X,7,07,79,-6.4,Late II,Personal Ornament,Finger-Ring,Four coils of copper or bronze wire. The ends of the wire are turned inside the coils. ,Artefacts,,,,Domestic,Four coils of copper or bronze<br>wire. The ends of the wire<br>are turned inside the coils. 
422,140-055-X,7,05,63,-7.3,Late III,Personal Ornament,Finger-Ring,Three coils of copper or bronze wire. ,Artefacts,,,,Domestic,Three coils of copper or bronze<br>wire. 
426,075-013-X,7,08,,-18.2,Intermediate III,Human Figure,Figurine,"Pottery, with a red slip. A dancing figure with short, squat legs, wearing a scarf and a fillet round the head but otherwise nude. The head-dress suggests that it is meant to represent a woman, though no breasts are indicated. ",Artefacts,,,,Domestic,"Pottery, with a red slip. A<br>dancing figure with short, squat legs,<br>wearing a scarf and a fillet<br>round the head but otherwise nude.<br>The head-dress suggests that it is<br>meant to represent a woman, though<br>no breasts are indicated. "
432,079-003-X,9,07,48,-18.5,Intermediate III,Animals,Model animal,"Pottery; no slip. Rhinoceros, roughly made; no plastic additions, though rough incisions indicate the holds round the neck. Horn missing. ",Artefacts,,,,Domestic,"Pottery; no slip. Rhinoceros, roughly made;<br>no plastic additions, though rough incisions<br>indicate the holds round the neck.<br>Horn missing. "
437,109-053-X,9,08,16,-19.8,Intermediate III,Cooking Baking Utensils,Tube,"Curved tube of pottery, with a smooth, red slip. Well made, but one end is missing. ",Artefacts,,,,Domestic,"Curved tube of pottery, with a<br>smooth, red slip. Well made, but<br>one end is missing. "
438,109-042-X,7,09,29,-16.1,Intermediate III,Tools,Flesh-rubber,"Pottery. Flat face, rounded back. Very worn.",Artefacts,,,,Craft,"Pottery. Flat face, rounded back. Very<br>worn."
440,109-003-X,7,09,34,-19.6,Intermediate III,Cooking Baking Utensils,Pottery of unkown use,"An ivory head which was obviously once fitted into something, which may have been a wooden box. Much polished by use, and it is possible that a string was wound around two of these objects, one in the lid and one just below it in the side of a box, to keep it tightly closed. ",Artefacts,,,,Domestic,"An ivory head which was obviously<br>once fitted into something, which may<br>have been a wooden box. Much<br>polished by use, and it is<br>possible that a string was wound<br>around two of these objects, one<br>in the lid and one just<br>below it in the side of<br>a box, to keep it tightly<br>closed. "
441,091-028-X,9,06,36,-9.1,Late III,Personal Ornament,Hair-pin,"Ivory. Point missing. Plain head, projecting slightly on one side. Much polished by use. ",Artefacts,,,,Domestic,"Ivory. Point missing. Plain head, projecting<br>slightly on one side. Much polished<br>by use. "
442,140-053-X,10,03,64,-5.7,Late II,Personal Ornament,Bracelet,Round Copper wire,Artefacts,,,,Domestic,Round Copper wire
443,140-060-X,7,04,72,-7.7,Late III,Personal Ornament,Bracelet,Half-round Copper Wire,Artefacts,,,,Domestic,Half-round Copper Wire
444,140-062-X,7,04,72,-7.7,Late III,Personal Ornament,Bracelet,Rounded Copper Wire. Ends slightly fined and almost touhing.,Artefacts,,,,Domestic,Rounded Copper Wire. Ends slightly fined<br>and almost touhing.
449,091-033-X,9,09,62,-8.5,Late III,Personal Ornament,Hair-pin,"Steatite hair-pin head. Design deeply cut, and evidently intended to be inlaid with coloured paste.",Artefacts,,,,Domestic,"Steatite hair-pin head. Design deeply cut,<br>and evidently intended to be inlaid<br>with coloured paste."
450,140-057-X,7,06,60,-3.1,Late Ia,Personal Ornament,Bracelet,"Fragment, blue vitroues paste, decorated on the outside with an incised chevron patter. ",Artefacts,,,,Domestic,"Fragment, blue vitroues paste, decorated on<br>the outside with an incised chevron<br>patter. "
452,109-050-X,9,08,16,-19.8,Intermediate III,Tools,Flesh-rubber,"Pottery. Flat face, rounded back. Very worn.",Artefacts,,,,Craft,"Pottery. Flat face, rounded back. Very<br>worn."
454,076-026-X,9,08,18,-16.6,Intermediate III,Human Figure,Figurine,"Pottery, with traces of a red slip. This very unusual object consists of a somewhat irregular plaque with a flat, smooth base and slightly rounded upper surface, from one end of which there projects strip of clay for the mouth. Slightly beyond this head the plaque terminates in the head of a bull-like animal, whose horns have unfortunately been broken off. These two heads face in opposite directions. The base of the plaque is smooth, but it seems never to have been coloured red, and it may have been affixed to a clay body to represent the multi-headed animals that are sometimes, though rarely, depicted on the seals; or it may have served to ornament a jar, though we have not as yet found a jar so decorated. ",Artefacts,,,,Domestic,"Pottery, with traces of a red<br>slip. This very unusual object consists<br>of a somewhat irregular plaque with<br>a flat, smooth base and slightly<br>rounded upper surface, from one end<br>of which there projects strip of<br>clay for the mouth. Slightly beyond<br>this head the plaque terminates in<br>the head of a bull-like animal,<br>whose horns have unfortunately been broken<br>off. These two heads face in<br>opposite directions. The base of the<br>plaque is smooth, but it seems<br>never to have been coloured red,<br>and it may have been affixed<br>to a clay body to represent<br>the multi-headed animals that are sometimes,<br>though rarely, depicted on the seals;<br>or it may have served to<br>ornament a jar, though we have<br>not as yet found a jar<br>so decorated. "
456,091-030-X,9,11,75,-8.4,Late III,Personal Ornament,Button,"Faience, with traces of blue glaze. Obverse slightly rounded, with boss in centre and a double amrginal row of pittings. Reverse concave, and bridged across by a thin strip. Hand-made; not mounded. ",Artefacts,,,,Domestic,"Faience, with traces of blue glaze.<br>Obverse slightly rounded, with boss in<br>centre and a double amrginal row<br>of pittings. Reverse concave, and bridged<br>across by a thin strip. Hand-made;<br>not mounded. "
458,142-019-X,7,08,20,-14.6,Intermediate II,Personal Ornament,Bracelet (stoneware),Fragment. Dark grey throughout.,Artefacts,,,,Domestic,Fragment. Dark grey throughout.
459,142-024-X,4,00,8,-20.4,[check data],Personal Ornament,Bracelet (stoneware),Fragment. Dark grey throughout.,Artefacts,,,,Domestic,Fragment. Dark grey throughout.
460,142-025-X,4,00,8,-20.4,[check data],Personal Ornament,Bracelet (stoneware),Fragment. Dark grey throughout.,Artefacts,,,,Domestic,Fragment. Dark grey throughout.
467,091-035-X,9,04,6,-6.8,Late II,Personal Ornament,Button,"Steatite with slight traces of green glaze. Obverse slightly rounded, reverse flat with converging holes. ",Artefacts,,,,Domestic,"Steatite with slight traces of green<br>glaze. Obverse slightly rounded, reverse flat<br>with converging holes. "
470,136-070-X,9,10,55,-3.9,Late Ib,Personal Ornament,Ornament ( not determined),Shell. Flat shell disc with an incised design on one side only. ,Artefacts,,,,Domestic,Shell. Flat shell disc with an<br>incised design on one side only.<br>
471,138-018-X,9,10,86,-6.5,Late II,Personal Ornament,Ornament ( not determined),Faience; faint yellow glaze. Obverse rounded; reverse flat. ,Artefacts,,,,Domestic,Faience; faint yellow glaze. Obverse rounded;<br>reverse flat. 
472,100-001-X,10,01,,-26.2,Early Periods,Personal Ornament,Hair-pin,"Ivory. Flat top, simply decorated on both sides with incised lines. ",Artefacts,,,,Domestic,"Ivory. Flat top, simply decorated on<br>both sides with incised lines. "
473,140-039-X,9,08,16,-14.5,Intermediate II,Personal Ornament,Ornament ( not determined),"Vitreous paste; now cream coloured. Two small holes at the middle, somewhat roughly made. ",Artefacts,,,,Domestic,"Vitreous paste; now cream coloured. Two<br>small holes at the middle, somewhat<br>roughly made. "
474,100-003-X,7,05,51,-12.0,Intermediate I,Personal Ornament,Hair-pin,"Bronze; badly corroded and bent. Surmounted by two head whose spiral horns show them to represent the black buck, in the Bikanir desert. This particular pin affords a proof that was not used to fasten the clothing, for the horns which were originally vertical would have been seriously in the way. ",Artefacts,,,,Domestic,"Bronze; badly corroded and bent. Surmounted<br>by two head whose spiral horns<br>show them to represent the black<br>buck, in the Bikanir desert. This<br>particular pin affords a proof that<br>was not used to fasten the<br>clothing, for the horns which were<br>originally vertical would have been seriously<br>in the way. "
475,100-010-X,7,05,51,-12.0,Intermediate I,Personal Ornament,Hair-pin,"Bronze; badly corroded and bent. Surmounted by two head whose spiral horns show them to represent the black buck, in the Bikanir desert. This particular pin affords a proof that was not used to fasten the clothing, for the horns which were originally vertical would have been seriously in the way. ",Artefacts,,,,Domestic,"Bronze; badly corroded and bent. Surmounted<br>by two head whose spiral horns<br>show them to represent the black<br>buck, in the Bikanir desert. This<br>particular pin affords a proof that<br>was not used to fasten the<br>clothing, for the horns which were<br>originally vertical would have been seriously<br>in the way. "
477,100-005-X,7,04,49,-14.9,Intermediate II,Personal Ornament,Hair-pin,"Bone. Point missing. Roughly made, and not perfectly round. ",Artefacts,,,,Domestic,"Bone. Point missing. Roughly made, and<br>not perfectly round. "
480,140-040-X,9,08,16,-6.4,Late II,Personal Ornament,Ornament ( not determined),"Faience, formerly glazed. Fan-shaped. Obverse ornamented with an unusually regular and delicate incised design; reverse plain and flat. A tiny hole at the top of the fan-shaped edge and another at the point below. ",Artefacts,,,,Domestic,"Faience, formerly glazed. Fan-shaped. Obverse ornamented<br>with an unusually regular and delicate<br>incised design; reverse plain and flat.<br>A tiny hole at the top<br>of the fan-shaped edge and another<br>at the point below. "
481,075-018-X,10,00,,-17.7,Intermediate III,Human Figure,Figurine,"Pottery, with traces of a red wash. This is a side view of the head and shoulders of a female figure wearing tight necklaces, apparently of double strings of beads, and very unusual ornaments on either side of the head. ",Artefacts,,,,Domestic,"Pottery, with traces of a red<br>wash. This is a side view<br>of the head and shoulders of<br>a female figure wearing tight necklaces,<br>apparently of double strings of beads,<br>and very unusual ornaments on either<br>side of the head. "
482,100-012-X,10,00,,-16.9,Intermediate III,Personal Ornament,Stud for nose,"Faience, with no trace left of colour.",Artefacts,,,,Domestic,"Faience, with no trace left of<br>colour."
483,079-007-X,10,01,2,-18.3,Intermediate III,Animals,Model animal,"Pottery; traces of red slip. Model of animal which is difficult to identify. Not an elephant, as it never had a trunk. The prominent ears, now broken, suggest a hare. Hollow, though not a rattle. The corpulent, over-fed look of this model suggests that the hare, if it be this animal, was sometimes kept as a pet. The very small tail is held to one side and not upright, as is normally the case in hares and rabbits. ",Artefacts,,,,Domestic,"Pottery; traces of red slip. Model<br>of animal which is difficult to<br>identify. Not an elephant, as it<br>never had a trunk. The prominent<br>ears, now broken, suggest a hare.<br>Hollow, though not a rattle. The<br>corpulent, over-fed look of this model<br>suggests that the hare, if it<br>be this animal, was sometimes kept<br>as a pet. The very small<br>tail is held to one side<br>and not upright, as is normally<br>the case in hares and rabbits.<br>"
494,143-003-X,10,01,5,-16.0,Intermediate III,Vessels,Vessel,"Soft white alabaster. Part of a shallow bowl with a flat edge to the rim, which in shape is like certain bowls of copper and bronze.",Artefacts,,,,Domestic,"Soft white alabaster. Part of a<br>shallow bowl with a flat edge<br>to the rim, which in shape<br>is like certain bowls of copper<br>and bronze."
495,143-004-X,10,01,5,-16.0,Intermediate III,Vessels,Vessel,Soft white alabaster. Small fragment of a shallow bowl. Badly corroded. ,Artefacts,,,,Domestic,Soft white alabaster. Small fragment of<br>a shallow bowl. Badly corroded. 
496,140-059-X,9,07,21,-7.5,Late III,Personal Ornament,Pectoral,Light yellow steatite. Back plain and slightly rounded. ,Artefacts,,,,Domestic,Light yellow steatite. Back plain and<br>slightly rounded. 
501,105-051-X,9,03,26,-11.0,Intermediate I,Tools,Rubber,"It is hard, cherty limestone and is evidently a polisher or rubber of some kind. Thid object is a convenient shape to hold in the hand and may have been used in preparing skins. ",Artefacts,,,,Craft,"It is hard, cherty limestone and<br>is evidently a polisher or rubber<br>of some kind. Thid object is<br>a convenient shape to hold in<br>the hand and may have been<br>used in preparing skins. "
503,091-032-X,10,04,70,-5.0,Late II,Personal Ornament,Button,"Light blue faience. Hemispherical and hollow, with a loop inside the apex. ",Artefacts,,,,Domestic,"Light blue faience. Hemispherical and hollow,<br>with a loop inside the apex.<br>"
